Date,Ticker,Z_Score,Forecast,Actual,Win
2024-04-03,MS,0.6191484717733113,0.30153198120962377,0.27134369544423503,1
2024-04-04,MS,1.3326887409988026,0.3528374989340549,0.27196814451290113,1
2024-04-05,MS,1.9039822044528185,0.3457216788808971,0.2746609929497253,1
2024-04-08,MS,1.7688766831382319,0.33626368997066874,0.27553420241173976,1
2024-04-09,MS,1.4772715680460426,0.3144711758129426,0.27434889747020297,1
2024-04-10,MS,1.7983847416040601,0.3622323651414364,0.2676550794453427,1
2024-04-11,MS,-0.3846250504867224,0.2728173554775667,0.16744765462172007,1
2024-04-12,MS,-0.3978595289965848,0.25716971720666953,0.1603513637597998,1
2024-04-15,MS,-0.14719190310202676,0.27877276894679975,0.1602043888448728,1
2024-04-16,MS,-0.1625037851908408,0.28939911446936706,0.14803583506544093,1
2024-04-17,MS,-0.15714195144174528,0.2911383670901925,0.1564916250180588,1
2024-04-18,MS,-1.3541599370453812,0.19107690522709236,0.15609481103205491,1
2024-04-19,MS,-0.6736540836776344,0.22507468997157704,0.15678674023141964,1
2024-04-22,MS,-0.781094546245484,0.21044062034373726,0.15416732419597085,1
2024-04-23,MS,-0.8619808758494762,0.20535699750422212,0.15287825633601582,1
2024-04-24,MS,-0.8058807153055935,0.20769413477910129,0.17085853051115388,1
2024-04-25,MS,-1.4222567384970661,0.18536259425961132,0.15998286217369942,1
2024-04-26,MS,-1.2270214922245959,0.18525975131070402,0.16163585753959597,1
2024-04-29,MS,-0.7085990890059686,0.21821689480927822,0.17276891994593668,1
2024-04-30,MS,-1.4253352478044008,0.17414540198164488,0.16258031814372456,1
2024-05-01,MS,-1.4151718230850994,0.17481166881781782,0.16216513056999246,1
2024-05-02,MS,-1.187205832530144,0.20625126026763488,0.16082131385444554,1
2024-05-03,MS,-0.7493499029019604,0.2308825899757531,0.16215832047286965,1
2024-05-06,MS,-0.6630304821854499,0.23830818242672736,0.15738822577910533,1
2024-05-07,MS,-0.7687990248124004,0.23338228627788438,0.15358485170176908,1
2024-05-08,MS,-0.8544055675946135,0.22750332318200006,0.1536143218661613,1
2024-05-09,MS,-0.9236183644112493,0.2157564028507446,0.12696423160553366,1
2024-05-10,MS,2.0931499510358575,0.28506302105291376,0.1304324880892055,0
2024-05-13,MS,2.334328377053892,0.2915186923604366,0.13022339374075645,0
2024-05-14,MS,2.182963617329619,0.28286643970803566,0.1256878380460902,0
2024-05-15,MS,2.380195844460271,0.281780484504273,0.11748441560108813,0
2024-05-16,MS,-0.23517530313550436,0.14116824021267582,0.13072455629285842,1
2024-05-17,MS,0.256485614329951,0.17280671790757557,0.13005879681464896,0
2024-05-20,MS,0.274509609770242,0.17467304175714263,0.1297722231816883,0
2024-05-21,MS,0.2614780169876856,0.17120452248605728,0.12650564269338785,0
2024-05-22,MS,0.40494684063505937,0.17926349399509006,0.1318573330338489,0
2024-05-23,MS,0.5599243147196822,0.20526051135006623,0.12076128699640742,0
2024-05-24,MS,-0.37840235239901104,0.13673366556907027,0.12445206258513714,1
2024-05-28,MS,-0.27743923162323775,0.14458987671798532,0.12966212983682454,1
2024-05-29,MS,1.3222077936269445,0.2540059121351166,0.13229645668398787,0
2024-05-30,MS,-0.11475013624039364,0.15553002244406214,0.14947432312504963,1
2024-05-31,MS,-0.4622057704182818,0.13770700390405327,0.14894994710744514,1
2024-06-03,MS,1.5043520740980332,0.24042575831034435,0.14848063746574836,0
2024-06-04,MS,0.35487663382734147,0.18093700783775576,0.1466528368097815,0
2024-06-05,MS,1.462749367159661,0.23479121724357171,0.14956061270075865,0
2024-06-06,MS,1.442215000525386,0.22990124457251512,0.16202191757697793,1
2024-06-07,MS,1.4892864344464207,0.24631264232925298,0.16314029991425122,1
2024-06-10,MS,2.2001130780213236,0.2639068522084456,0.1606722882273779,1
2024-06-11,MS,1.8483334877205553,0.24547913459349022,0.15627729156144107,1
2024-06-12,MS,1.7481048059574291,0.2390314616568161,0.15797997485464682,1
2024-06-13,MS,1.7989091671613775,0.23765814449926298,0.15505873044800048,1
2024-06-14,MS,0.8292485950181296,0.18049977981113813,0.15495984163402282,1
2024-06-17,MS,1.8445051511379813,0.2708902009313423,0.1735785856116326,1
2024-06-18,MS,1.4128416309859395,0.23742193313175491,0.2019820876565793,1
2024-06-20,MS,0.6535064722665784,0.179432781681161,0.2016183164329915,1
2024-06-21,MS,0.8175784735099506,0.18863418362555534,0.19503336405180774,1
2024-06-24,MS,0.2654530058456412,0.15144574841801683,0.20359262769529163,1
2024-06-25,MS,0.2599736280654771,0.1399453659231195,0.20805817546599614,1
2024-06-26,MS,0.2532662462480975,0.14314118768467182,0.20359163560395518,1
2024-06-27,MS,-0.08197737271948762,0.12361282245069592,0.20883303039940626,0
2024-06-28,MS,-0.10185020075966172,0.12478068554745278,0.20738172255807066,0
2024-07-01,MS,-0.10955222579527873,0.1410669641744247,0.19806035763368826,0
2024-07-02,MS,-0.07026910770653255,0.14355728979409274,0.20578432560838145,0
2024-07-03,MS,0.06927663874746381,0.1537971298018429,0.2947137685264192,1
2024-07-05,MS,-0.08770231724495761,0.13992230389246932,0.3234724682624875,0
2024-07-08,MS,0.11703518576894424,0.15854223593542768,0.32333712525731706,1
2024-07-09,MS,1.0925104977086175,0.25255414758911804,0.31256833878578805,1
2024-07-10,MS,0.8481576185068016,0.23342392718030808,0.3286889389774196,1
2024-07-11,MS,0.8255675754296317,0.2290839637088653,0.32459504115935733,1
2024-07-12,MS,1.0614416030512541,0.24423495929409492,0.3251423127259918,1
2024-07-15,MS,1.008279004792327,0.24153225830612934,0.33128198225771205,1
2024-07-16,MS,0.9615883926629502,0.24422878706092666,0.34636353515737894,1
2024-07-17,MS,0.9229454445592452,0.2405464587042199,0.3485738356963802,1
2024-07-18,MS,0.6915552257803185,0.23770791485927747,0.34406391808766423,1
2024-07-19,MS,0.926204617942881,0.2878709345346106,0.33181993533369686,1
2024-07-22,MS,0.9509350599923531,0.2898004677377819,0.33331558001073786,1
2024-07-23,MS,1.2085823146590131,0.31384576381481366,0.3310586410270435,1
2024-07-24,MS,1.361640373737287,0.3374517438313469,0.32713640864200194,1
2024-07-25,MS,0.741429657179675,0.28094608368417473,0.32582194533283076,1
2024-07-26,MS,0.3056759820455052,0.23364179978080457,0.32544301177198687,1
2024-07-29,MS,0.15990757608772502,0.22455310393087144,0.32026858132060776,1
2024-07-30,MS,0.9478406525874202,0.3007844121012129,0.31723845625406155,1
2024-07-31,MS,0.5102755168674186,0.24834423768602448,0.3172813940927444,1
2024-08-01,MS,0.43219955807414445,0.2483743970864133,0.3149293957681291,1
2024-08-02,MS,1.9629565030310787,0.4881486210396625,0.2767697512263318,0
2024-08-05,MS,5.513732694192725,0.8668100658362077,0.231682580273197,0
2024-08-06,MS,-0.23796462631164522,0.29890933209848675,0.23314395705838156,1
2024-08-07,MS,-0.027314191660177928,0.3097644538785344,0.2574593064029385,1
2024-08-08,MS,-0.07209313556387018,0.32128835918948345,0.24699059569851475,1
2024-08-09,MS,-0.3042000135587831,0.2933679839059168,0.2545631306065911,1
2024-08-12,MS,-0.06466926555252968,0.3185038157899732,0.25481775672587526,1
2024-08-13,MS,-0.4094493725150446,0.29183288730979523,0.2462623828670611,1
2024-08-14,MS,-0.7966278419983369,0.2696110732251244,0.23288195994229777,1
2024-08-15,MS,-0.7582007338030143,0.27552369874379196,0.23838580878615,1
2024-08-16,MS,-0.8458656302362563,0.26256755785293584,0.236607379628311,1
2024-08-19,MS,-0.9435472969929894,0.24091226907378815,0.23670981751001358,1
2024-08-20,MS,-0.9207906005016618,0.24545534015628828,0.24043198089735734,1
2024-08-21,MS,-0.8940551370297247,0.24574945266245984,0.24760674954918535,1
2024-08-22,MS,-0.8595821151860644,0.24511657614838558,0.2475073554700202,1
2024-08-23,MS,-0.9004011233410597,0.2399072339762409,0.2434834542683093,1
2024-08-26,MS,-0.8266858092524915,0.24656208765566542,0.2432009314634955,1
2024-08-27,MS,-0.618248619072033,0.26212604223201186,0.2544132837944365,1
2024-08-28,MS,-0.49360891954911423,0.27081752620420385,0.2552207566469733,1
2024-08-29,MS,-0.5177177712114852,0.26859317252468723,0.2549898505849307,1
2024-08-30,MS,-0.4365852681706278,0.27387119484854355,0.2529085834871517,1
2024-09-03,MS,0.5509566618958611,0.3285838891996349,0.19835901795880934,0
2024-09-04,MS,1.4991991996192964,0.3780027692977405,0.19708405973132298,0
2024-09-05,MS,1.5390017358675507,0.3833488297386926,0.21884352281516575,0
2024-09-06,MS,1.0584457592435825,0.360762445574888,0.18227354176394733,0
2024-09-09,MS,1.2324191919303955,0.3672733500960109,0.17889745085949038,0
2024-09-10,MS,0.7193521322466542,0.3247711056323697,0.165846032076046,0
2024-09-11,MS,-0.05132306562759021,0.24883780957757795,0.17337659778983625,1
2024-09-12,MS,0.41115101090490386,0.2941679645994705,0.17914527198222052,0
2024-09-13,MS,0.4776547873221108,0.28853628121849795,0.17901771757564763,0
2024-09-16,MS,0.17782031289341765,0.2591046816748476,0.17479169067526165,0
2024-09-17,MS,0.1762119684617769,0.2571388550071393,0.2623612953631961,1
2024-09-18,MS,0.2854413528553783,0.27154311976580525,0.2596329333821622,1
2024-09-19,MS,0.28221417172649443,0.274871460132861,0.25942796227477904,1
2024-09-20,MS,0.21117910912755802,0.27337759762275116,0.2798814550036325,1
2024-09-23,MS,0.22665776876282054,0.2751671128561158,0.279779888067736,1
2024-09-24,MS,0.20092956030839382,0.26800351779915915,0.28018933240538235,1
2024-09-25,MS,0.2702398446971734,0.27588176307309153,0.27821845958039376,1
2024-09-26,MS,0.2051996493389811,0.2792286295622308,0.287493566468726,1
2024-09-27,MS,0.2196212032482998,0.281780139736086,0.2888798997452654,1
2024-09-30,MS,0.20582538335082784,0.27988086805056983,0.2888403743524203,1
2024-10-01,MS,0.28759509576223236,0.2876882323094168,0.29521746565129453,1
2024-10-02,MS,0.6553738613913522,0.2764542681853585,0.29781760868725543,1
2024-10-03,MS,0.951913257265777,0.3105153520051977,0.29727618164650044,1
2024-10-04,MS,0.8026576896987849,0.3144893164850773,0.2847604759605434,1
2024-10-07,MS,0.8266787596941082,0.28078171915482636,0.286031004890874,1
2024-10-08,MS,0.997595515266916,0.2977723037934421,0.46187087890840256,1
2024-10-09,MS,1.6655782627194813,0.36222751533520164,0.4757315458471944,1
2024-10-10,MS,1.3419335545582924,0.3315984645000244,0.4716926415203885,1
2024-10-11,MS,1.4462635067752005,0.3496682543009065,0.47553103909986577,1
2024-10-14,MS,1.3022133833071852,0.3325563422430007,0.47900966146934765,1
2024-10-15,MS,1.4096131613502618,0.3409933814896035,0.47830051413344177,1
2024-10-16,MS,0.28880904186848977,0.29688458653210004,0.436100327483435,1
2024-10-17,MS,0.4793780163029447,0.31693621838227004,0.43619484836965444,1
2024-10-18,MS,0.4137450580123296,0.3088856974448535,0.4361105818854248,1
2024-10-21,MS,0.4432603614266692,0.3328673533057178,0.42836010103633326,1
2024-10-22,MS,0.31180490933304644,0.31705203025260614,0.42935233468743134,1
2024-10-23,MS,0.5586274611417839,0.35048612505839943,0.43384614805765753,1
2024-10-24,MS,0.3490063585749,0.3221368655484408,0.43491785441055153,1
2024-10-25,MS,0.1707474180747871,0.3089801504256054,0.42806095921095794,1
2024-10-28,MS,-0.1273492971881313,0.272854466407914,0.43383351035253453,0
2024-10-29,MS,-0.2165585057393923,0.26158899586827977,0.4340898912392259,0
2024-10-30,MS,0.2992801303633738,0.3339051596522747,0.4300010466335595,1
2024-10-31,MS,0.5485441246434617,0.3687274522992419,0.42936195438838953,1
2024-11-01,MS,0.566395385394277,0.37049364291630044,0.430820009108858,1
2024-11-04,MS,0.6122877262961401,0.36391040204063413,0.4300415504171709,1
2024-11-05,MS,0.5337529311849452,0.35502880320356983,0.4288976009688158,1
2024-11-06,MS,-1.5849110841265017,0.26717568785788537,0.19496786893591941,1
2024-11-07,MS,-1.6962508603261248,0.26735904556727363,0.18052694815125722,1
2024-11-08,MS,-1.7451372080633014,0.25731479689795067,0.18410041484997855,1
2024-11-11,MS,-1.825527808344223,0.25127777405976714,0.14774906458884868,1
2024-11-12,MS,-1.8830822279556108,0.24768624035912695,0.14634414073200483,1
2024-11-13,MS,-2.178578297423447,0.20092730487796345,0.1453951902996805,1
2024-11-14,MS,-1.7461819001562537,0.21377915676260686,0.15398484069359092,1
2024-11-15,MS,-1.4950732986064994,0.2458444352598265,0.14867590860529328,1
2024-11-18,MS,-1.665459801203963,0.22406682358108654,0.23240549391488818,1
2024-11-19,MS,-1.4257167102832136,0.2468400611607346,0.23108076634587074,1
2024-11-20,MS,-1.5480273810229193,0.22600658692925016,0.2513476960947205,1
2024-11-21,MS,-1.6023254397695228,0.2233679170546711,0.23417909428048586,1
2024-11-22,MS,-1.6666156719447494,0.2159945884582608,0.24925959793694216,1
2024-11-25,MS,-1.7540120248906812,0.19765748498910476,0.25108950607013664,1
2024-11-26,MS,-1.812418053994211,0.1957579382031916,0.24618165920922194,1
2024-11-27,MS,-1.6633759875701961,0.21214021154645524,0.24710484062399493,1
2024-11-29,MS,-1.6201214622854627,0.21382295923498398,0.2465175740155957,1
2024-12-02,MS,-1.5914535800203504,0.2170091159616393,0.2471020523273662,1
2024-12-03,MS,-1.5396762458467448,0.22537598914591422,0.25015074544494553,1
2024-12-04,MS,-1.5747911067412608,0.21991204011035195,0.26223738011708014,1
2024-12-05,MS,-1.494976200735765,0.23735186260272267,0.2659222584404802,1
2024-12-06,MS,0.28832101217910194,0.23190936749430793,0.26764584270654346,1
2024-12-09,MS,0.34056950821527926,0.2241628521101076,0.2913520643525229,1
2024-12-10,MS,0.12129805332236375,0.19964188311854833,0.2886956205190493,1
2024-12-11,MS,0.603475579778769,0.22507014532427463,0.2883344233552259,1
2024-12-12,MS,1.0340567678260906,0.2595644936688294,0.3322189930376105,1
2024-12-13,MS,1.0060681964488405,0.255551034567226,0.3572486845020107,1
2024-12-16,MS,0.9493352932677162,0.2579289183336606,0.3581379326173635,1
2024-12-17,MS,1.1571138605344697,0.2753699584428333,0.3559724441739289,1
2024-12-18,MS,2.1947566868138755,0.47271253935295293,0.29370251686370147,1
2024-12-19,MS,2.6853390490819615,0.5209815057043882,0.29246765229156463,1
2024-12-20,MS,0.6027459183984206,0.3164182455468532,0.2858824914730572,1
2024-12-23,MS,0.4451692584340412,0.2822381642157447,0.28956180222568795,1
2024-12-24,MS,-0.2944549251744176,0.21747117235805535,0.28557608765833065,0
2024-12-26,MS,-0.42910669503468557,0.2047644998491258,0.28544976448480275,0
2024-12-27,MS,0.049884771154539806,0.2517392068002884,0.2814108598334629,1
2024-12-30,MS,0.048676499241338746,0.2525277774209222,0.27955712557876505,1
2024-12-31,MS,0.11628153484618986,0.2594722322993421,0.2833370418451811,1
2025-01-02,MS,0.2205029540795059,0.2716677791595333,0.28131030585805483,1
2025-01-03,MS,0.002284852871275769,0.25040529564687714,0.28349276838555193,1
2025-01-06,MS,-0.09838695059240192,0.2511324965005288,0.27997504999112355,0
2025-01-07,MS,0.12260287269760901,0.279760380510166,0.2757524122190612,1
2025-01-08,MS,0.4730708627048435,0.32104110336954156,0.2879640400222705,1
2025-01-10,MS,0.821668076145707,0.38409331003697206,0.2510997507034418,0
2025-01-13,MS,0.8209868427662946,0.3813599757485292,0.2537115561711706,0
2025-01-14,MS,-0.11454420200624202,0.2757585027191029,0.25489367871999613,1
2025-01-15,MS,-0.2803395861330386,0.3014402340552873,0.20942053202205033,1
2025-01-16,MS,-0.6302000546077503,0.28805840046480063,0.1672930612397949,1
2025-01-17,MS,-0.8400844209520147,0.26590423749798797,0.1605006067256246,1
2025-01-21,MS,-1.2930245316404307,0.21401000866292816,0.22960024174013774,1
