ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,n,v8_beta,v8_r2,delta_beta_to_1,delta_r2,v8_in_band,v10_in_band
LOW,21,0.074997,-0.0412,0.9647,0.4339,2973,0.6201628851246119,0.1539353445758644,-0.3445371148753881,0.2799646554241356,False,True
LOW,63,0.065876,0.1887,1.0992,0.4086,2973,0.4101780999597397,0.0410032732475685,-0.4906219000402603,0.3675967267524315,False,True
LOW,126,0.049466,0.3571,1.2077,0.5606,2973,0.7606065858396307,0.1622129172294328,-0.031693414160369304,0.3983870827705672,True,True
MCD,21,0.065345,-0.0813,0.9391,0.4006,2973,0.7365437578421009,0.1495554731721826,-0.20255624215789914,0.2510445268278174,True,True
MCD,63,0.059172,0.1775,1.0542,0.3611,2973,0.3563439908932186,0.0220332385701811,-0.5894560091067813,0.3390667614298189,False,True
MCD,126,0.047365,0.4385,1.1914,0.5071,2973,0.7860784026843176,0.1466563984150036,-0.022521597315682373,0.3604436015849964,True,True
MO,21,0.070342,-0.0953,0.9368,0.3978,2973,0.770378225568866,0.2270642219498456,-0.16642177443113393,0.17073577805015439,True,True
MO,63,0.054885,0.1115,1.04,0.4926,2973,0.6084631898993093,0.2104896755443595,-0.3515368101006907,0.2821103244556405,False,True
MO,126,0.044426,0.0232,0.9881,0.53,2973,0.6036066941413105,0.2298525582805387,-0.38449330585868946,0.30014744171946134,False,True
MRK,21,0.05919,0.1175,1.0408,0.3743,2973,0.7003072317463797,0.1834090698094221,-0.2588927682536204,0.19089093019057793,True,True
MRK,63,0.049979,0.2959,1.1331,0.3895,2973,0.3675951396227513,0.0626277997651956,-0.49930486037724875,0.3268722002348044,False,True
MRK,126,0.037948,0.4244,1.2173,0.4952,2973,0.8207483428384796,0.3597586481948657,0.03804834283847969,0.13544135180513428,True,True
MS,21,0.07826,-0.1554,0.8946,0.3618,2973,0.4884983116431946,0.0612254297640267,-0.40610168835680527,0.30057457023597334,False,True
MS,63,0.06777,0.0281,1.0113,0.3426,2973,0.0836211720925677,0.0013727583343544,-0.9050788279074322,0.3412272416656456,False,True
MS,126,0.048652,0.2846,1.1768,0.5355,2973,0.6604922410154555,0.115751482334642,-0.16270775898454448,0.419748517665358,False,True
MSFT,21,0.061937,0.063,1.0255,0.4037,2973,,,,,False,True
MSFT,63,0.05527,0.3486,1.183,0.3477,2973,,,,,False,True
MSFT,126,0.045168,0.4932,1.2687,0.4072,2973,,,,,False,True
NKE,21,0.075371,0.1196,1.0418,0.4351,2973,0.4281493929095282,0.0902254198478486,-0.5300506070904718,0.3448745801521514,False,True
NKE,63,0.063753,0.52,1.2689,0.5023,2973,0.9686349848996844,0.1936940526112477,0.23753498489968428,0.30860594738875224,True,True
NKE,126,0.053576,0.2908,1.1349,0.5071,2973,0.8634099325241676,0.193474610093117,-0.0016900674758323353,0.313625389906883,True,True
ORCL,21,0.063942,0.1194,1.0447,0.5562,2973,1.0367691046855292,0.3886062129730776,0.007930895314470776,0.1675937870269224,True,True
ORCL,63,0.056072,0.4852,1.2415,0.6073,2973,1.282555347308582,0.6421147300616221,-0.04105534730858196,-0.03481473006162217,True,True
ORCL,126,0.044278,0.4949,1.2514,0.7606,2973,1.214286862442623,0.6679460108079162,0.037113137557376996,0.0926539891920839,True,True
PFE,21,0.054156,0.0623,1.0127,0.4695,2973,0.4518937142512864,0.0615563172194539,-0.5354062857487136,0.40794368278054605,False,True
PFE,63,0.04449,0.1534,1.0541,0.5066,2973,0.1806697011594801,0.0116817821800366,-0.7652302988405199,0.4949182178199634,False,True
PFE,126,0.034881,0.3417,1.167,0.5948,2973,0.648829047733993,0.1863437195687312,-0.184170952266007,0.4084562804312688,False,True
PLD,21,0.067581,0.0044,0.9881,0.5065,2973,0.448169734557293,0.0706582153110969,-0.539930265442707,0.43584178468890306,False,True
PLD,63,0.059296,0.1532,1.0694,0.5277,2973,0.0932750728114865,0.0049246557427975,-0.8373249271885136,0.5227753442572024,False,True
PLD,126,0.048876,0.2183,1.1027,0.6053,2973,0.2556563734746403,0.0268930644309962,-0.6416436265253597,0.5784069355690038,False,True
QCOM,21,0.080609,0.0006,0.9614,0.519,2973,0.3967912090402024,0.051583098704881,-0.5646087909597977,0.46741690129511904,False,True
QCOM,63,0.063915,0.1439,1.038,0.6113,2973,0.377724064632473,0.0204222296556157,-0.584275935367527,0.5908777703443843,False,True
QCOM,126,0.04626,0.0989,1.0124,0.745,2973,0.8736509760124961,0.2608270587408805,-0.11394902398750395,0.48417294125911947,True,True
RTX,21,0.039557,-0.8444,0.5191,0.1093,646,0.292437243116604,0.0441560937521562,-0.226662756883396,0.0651439062478438,False,False
