ticker,horizon,ew_alpha,ew_beta,ew_beta_raw,ew_r2,n,beta_capped
JNJ,126,0.10122755948395587,0.3075822268849741,0.307582,0.04915079289967883,2640,False
JPM,21,0.13770210353471096,0.3072140237597605,0.307214,0.03063462326305344,2953,False
JPM,63,0.20553242694221305,-0.0091804843935079,-0.00918,2.4823217548597398e-05,2953,False
JPM,126,0.042241134370380934,0.8062156379650613,0.806216,0.13863177643750957,2953,False
KO,21,0.06710104189903744,0.5614325233509779,0.561433,0.09326141081372996,2953,False
KO,63,0.12293075915430195,0.16731082576464407,0.167311,0.004838460825039803,2953,False
KO,126,0.042503704889201604,0.727415491147179,0.727415,0.11886688791495625,2953,False
LLY,21,0.1708956030926873,0.3872107920889944,0.387211,0.07417141940406213,2953,False
LLY,63,0.3165744248851717,-0.13783067156365986,-0.137831,0.009931955007767779,2953,False
LLY,126,0.15010959476368976,0.502275062824744,0.502275,0.18077628547151003,2953,False
LMT,21,0.00210580697949983,1.0340770700927717,1.034077,0.3379787992223625,2953,False
LMT,63,0.054008671793160434,0.7357475856538187,0.735748,0.14156399970335432,2953,False
LMT,126,-0.011396060241603972,1.159413031871024,1.159413,0.3543037018174271,2953,False
LOW,21,0.07624539481117323,0.6201628851246119,0.620163,0.15393534457586444,2953,False
LOW,63,0.12165855054048645,0.41017809995973975,0.410178,0.041003273247568583,2953,False
LOW,126,0.04611304095739657,0.7606065858396307,0.760607,0.16221291722943287,2953,False
MCD,21,0.04697102622811514,0.7365437578421009,0.736544,0.14955547317218265,2953,False
MCD,63,0.10725233038643908,0.3563439908932186,0.356344,0.022033238570181135,2953,False
MCD,126,0.039516394550868056,0.7860784026843176,0.786078,0.14665639841500366,2953,False
MMM,21,0.13838604564959078,0.4123317670738382,0.412332,0.06372903209343994,2953,False
MMM,63,0.2054337013721949,0.12415885564337738,0.124159,0.006657517384496381,2953,False
MMM,126,0.10808312444755708,0.5724166200668396,0.572417,0.17992371659079165,2953,False
MO,21,0.027860921091788116,0.770378225568866,0.770378,0.22706422194984566,2953,False
MO,63,0.05883593067572784,0.6084631898993093,0.608463,0.2104896755443595,2953,False
MO,126,0.05922521992182973,0.6036066941413105,0.603607,0.22985255828053874,2953,False
