ticker,horizon,bucket,n,rmse,qlike,mean_y_true,mean_y_pred,mean_bias
AMAT,126,top_10,252,0.1344824625667206,0.07550554859778724,0.44553974140232255,0.3290977789198882,-0.1164419624824344
AMD,21,bottom_10,252,0.1036330582818377,0.04333660349505344,0.276945784127537,0.37035834855187694,0.09341256442433996
AMD,21,middle_80,2012,0.06912209813437409,0.01296455072099232,0.43086946809011045,0.4218422818358555,-0.00902718625425502
AMD,21,top_10,252,0.226472753802939,0.09753788060931295,0.6782141443752433,0.4783914847318783,-0.19982265964336496
AMD,63,bottom_10,252,0.08087934082619136,0.023313965007042185,0.32407792728656737,0.3983371182916951,0.07425919100512768
AMD,63,middle_80,2012,0.05364666725140352,0.0074581797568885584,0.43892393031276183,0.43473819754392246,-0.004185732768839408
AMD,63,top_10,252,0.16441690731875863,0.053078176658190576,0.6376933451967104,0.4882117801435444,-0.14948156505316612
AMD,126,bottom_10,252,0.08592396124831,0.02280470161134822,0.341784293594848,0.4222472719436227,0.08046297834877468
AMD,126,middle_80,2012,0.04256178570934312,0.004849161878142521,0.44464096027694683,0.4369948477666375,-0.007646112510309352
AMD,126,top_10,252,0.13174317758588833,0.035031180575208716,0.601575732279729,0.4824375984132993,-0.11913813386642975
AMGN,21,bottom_10,252,0.04232284743012404,0.030510492521553186,0.14188406259912248,0.1801248406287279,0.03824077802960542
AMGN,21,middle_80,2012,0.029815898672075753,0.010011428795610004,0.20405624060815875,0.20371067769219295,-0.0003455629159658047
AMGN,21,top_10,252,0.14259114481890814,0.12366644914559691,0.361011077393951,0.24636555800431711,-0.11464551938963385
AMGN,63,bottom_10,252,0.04200700976436516,0.0264794586283022,0.15332007847725831,0.1914001464686609,0.03808006799140259
AMGN,63,middle_80,2012,0.028367229756265325,0.009059283897291508,0.21056300954079335,0.20486353496426757,-0.00569947457652577
AMGN,63,top_10,252,0.11817839062746047,0.09046934694351272,0.3364589089197436,0.23979608903722727,-0.09666281988251628
AMGN,126,bottom_10,252,0.043717373879753794,0.025774425065574817,0.1596458228797946,0.19674254088950233,0.03709671800970772
AMGN,126,middle_80,2012,0.018871632739932462,0.0038661646191955933,0.21378964569746667,0.20966742124794926,-0.004122224449517411
AMGN,126,top_10,252,0.0942771916085634,0.06648403714580266,0.32487948674346323,0.23928785885670567,-0.08559162788675755
