ticker,horizon,dm_sq,p_sq,dm_ql,p_ql,model_rmse,naive_rmse,model_qlike,naive_qlike,n
GOOGL,126,-18.80258602511149,8.77826664622146e-73,-15.905142411381222,9.628379125826981e-54,0.05332059900103985,0.06628958745660452,0.03078434205286724,0.04852806558714793,2011
GS,21,-4.622851786803822,3.968621139435539e-06,-4.4794846931149355,7.803322559472482e-06,0.07097717536121619,0.08268215769546669,0.03516747660644605,0.03974594665662467,2619
GS,63,-10.709038260249427,3.259252219812766e-26,-10.786016227316688,1.4665970627611563e-26,0.06684978457158007,0.08520815437746235,0.03446241173540421,0.05459274915941149,2577
GS,126,-17.56293064269043,3.1851127057872277e-65,-17.757445629658612,1.4850415555639016e-66,0.05066586903128767,0.07702200023120813,0.019525829129802875,0.04609738569459823,2514
HD,21,-6.036172704758074,1.8015998177825578e-09,-5.506386351875895,4.0189095811850935e-08,0.08209253693146575,0.10043628852238472,0.05440340357187576,0.06624368341252697,2619
HD,63,-13.440528723452596,7.464504344352112e-40,-12.568373538229189,3.3264796412677864e-35,0.07377302218643168,0.10104694331835051,0.0549044896756541,0.09504252213194103,2577
HD,126,-20.20438716362986,3.0828646511977327e-84,-22.32488441607094,7.25695789436945e-101,0.06426902388321518,0.08941965915485021,0.04447792992763172,0.08166297662472582,2514
HON,21,-4.089472009328614,4.453963118730198e-05,-3.892338233332317,0.00010176123083963043,0.07207589455183669,0.08370434528232792,0.04632748856705572,0.05334505884685114,2619
HON,63,-10.027207999664064,3.069626526597485e-23,-9.011578485373219,3.8609046068870123e-19,0.06834142438999413,0.08909344168771996,0.0475042726435853,0.07664377614491331,2577
HON,126,-15.770062871584068,1.6882164583482295e-53,-15.938486311294525,1.4758830006478906e-54,0.06202507349535619,0.08404374536721447,0.04310112636970987,0.07461990918271307,2514
IBM,21,-4.0651137993150455,4.9424172916759734e-05,-5.553769110281557,3.077206199563176e-08,0.054660201903956485,0.06206505478583599,0.033705607488153724,0.04038920137286043,2619
IBM,63,-10.309239437298515,1.898202130946268e-24,-9.162787693856385,1.0037818703184305e-19,0.05389031109671323,0.06885341688910739,0.03802897429157387,0.05744779588572963,2577
IBM,126,-18.383795203489374,6.432054512357321e-71,-22.462435643019255,5.5378109790698774e-102,0.04350549670911838,0.059466721507021085,0.024645839852316536,0.044708093640387636,2514
INTC,21,-3.3757849459542815,0.000746791783344514,-0.94870981710897,0.34285578363520225,0.07413119136449782,0.08246143237476662,0.036290820300768876,0.03746470764675782,2619
INTC,63,-10.586314874667275,1.1518730069385174e-25,-9.277039191916773,3.578352304456779e-20,0.06902309228825705,0.08655975402722993,0.035787025502143174,0.051973048029254176,2577
INTC,126,-16.29204467186505,8.275697433667896e-57,-16.753260745915263,8.351393845277109e-60,0.06089273427510369,0.07830037577003693,0.029868378189863716,0.04798174234022921,2514
JNJ,21,-6.693512214005298,2.655646777230475e-11,-6.221381346235248,5.71932588415265e-10,0.057936118492895775,0.0685927879291478,0.04869999820390972,0.06005937890153769,2619
JNJ,63,-13.705928731651278,2.541680392748023e-41,-12.867187892725376,9.11155112570785e-37,0.050341559199068714,0.06608792237038885,0.042378251747276975,0.06470875843970822,2577
JNJ,126,-20.40311067894507,9.5491992877827e-86,-21.257898189258935,2.3490318608779778e-92,0.04012479687848622,0.056334003991601676,0.029140689238765023,0.05224486574434819,2514
JPM,21,-6.502286148454082,9.265933525489093e-11,-5.96503972279876,2.738570740856204e-09,0.08146236955262384,0.0964764625711704,0.05335917264215088,0.06444049396120813,2932
JPM,63,-13.31602291211866,2.6281622283308163e-39,-10.934900597016929,2.6701743598321705e-27,0.07001798420797857,0.0967259322342014,0.04389069536884796,0.08663096855455196,2890
JPM,126,-18.363148651291173,3.0721294131946515e-71,-17.659124511891875,2.7689287070969826e-66,0.0616857233563014,0.08648000901691463,0.03610724007644951,0.0706789624701045,2827
KO,21,-1.729602388676567,0.08380661939954542,-0.015698790623251697,0.9874757602994023,0.05580319242507926,0.05903524506305272,0.04308229679842153,0.04310965296841384,2932
KO,63,-8.8482216015523,1.5173071657980735e-18,-7.495897130952831,8.70596003130996e-14,0.05145616064433668,0.06410354553037656,0.0412437444840678,0.05961220794761306,2890
KO,126,-15.498758947052853,4.623867340338362e-52,-15.406229034139828,1.7376567821817743e-51,0.04389001220716917,0.05997213662839016,0.03213444684083506,0.05648650458475058,2827
LLY,21,-9.777749797406818,3.0575439667403867e-22,-11.851148168640318,1.1096475617985468e-31,0.06714704539104507,0.08425222416200398,0.034075384226165184,0.04840305070798848,2932
LLY,63,-9.735441893901784,4.62937071971135e-22,-7.054460477325674,2.1598494503534368e-12,0.060584169668986956,0.06924800097316888,0.03193280609827578,0.037690967525410436,2890
LLY,126,-11.172555792402985,2.1660784503731402e-28,-4.636817313312002,3.6988269733637e-06,0.04867279489192687,0.0564760112338911,0.023723308970212298,0.02699291110081357,2827
LMT,21,-6.21494599184556,5.862364989659573e-10,-9.977225538740717,4.4557989743238107e-23,0.06149528797460516,0.07216487003752613,0.03992589864209378,0.05566431412849215,2932
LMT,63,-10.898519148489655,3.922471369341942e-27,-10.531591204331143,1.7775832211235892e-25,0.057435464891656046,0.07289315288654627,0.03935805462973743,0.05922063994306047,2890
LMT,126,-19.250349074577887,1.069972612175713e-77,-20.00514599926688,2.2531832663164508e-83,0.05185854610091917,0.06802282122493246,0.03586134050765595,0.05966271198565039,2827
LOW,21,-4.868783236821058,1.1823800207165749e-06,-7.440067527283584,1.3148330152726028e-13,0.0789726732671293,0.0948056741314019,0.037052244617975925,0.04684250654170013,2932
LOW,63,-10.40011853302747,6.772345176669732e-25,-11.511689001282317,5.1478508000141505e-30,0.07398372292992085,0.09706354181939492,0.038342655703813844,0.05961683307513927,2890
LOW,126,-17.1318704131666,1.127356466971253e-62,-17.978550991792098,1.633549492403037e-68,0.057559364488299194,0.08664921932008358,0.02434819179471113,0.05265038601112838,2827
MCD,21,-3.6891571944336907,0.00022908799843339813,-2.6497384321635082,0.008098681288422428,0.06862615625570902,0.08022591089582005,0.04775760978664201,0.05295409980355248,2932
MCD,63,-9.341289251541998,1.8426417417125026e-20,-7.990252822130644,1.9271920074086397e-15,0.06314592884135972,0.0823602822310407,0.04962620145018586,0.07166131392721468,2890
MCD,126,-16.881653345384553,5.423907683398851e-61,-19.818880230433646,5.873768392699902e-82,0.05478833128614068,0.07655035498955018,0.040943007125468014,0.07495834131931119,2827
MMM,21,-5.491709938455221,4.321223245144443e-08,-6.393401974661136,1.8812385397504518e-10,0.05587267481393802,0.0647693057160844,0.034492135559167296,0.04241840495630965,2932
MMM,63,-11.646627862111869,1.1438861690893586e-30,-9.25326068996468,4.1158091007560996e-20,0.04483704441113297,0.05940902782461787,0.026644833468883196,0.038840123719375515,2890
MMM,126,-19.85086610358934,3.360813410126772e-82,-21.254655812548204,3.993605125685681e-93,0.0366515289165109,0.05236511065939635,0.018701691749193214,0.03519970406331962,2827
MO,21,-8.25064836958152,2.351693040868697e-16,-7.577784744343075,4.684738084949517e-14,0.0745091060502034,0.09377845538806508,0.04666279798468401,0.06954372556945533,2932
MO,63,-12.814443836566474,1.3256073282112697e-36,-12.03380102005845,1.4005391799035588e-32,0.06482386931625635,0.0878297585746228,0.04413966223630207,0.06918090408725593,2890
MO,126,-13.313477336440677,2.8718646803507675e-39,-11.646013781774236,1.1914427219786037e-30,0.054278716219920205,0.06983909545031325,0.03282618616869268,0.04656630942190077,2827
MPC,21,-1.655398461892601,0.09795548204693268,-0.6851070132494322,0.4933329636973237,0.127729932748264,0.1344882073886447,0.03817053815022756,0.03894676417010691,2808
MPC,63,-9.614769001992311,1.4993085035289333e-21,-8.444316669090307,4.8670205124760045e-17,0.12222186005699102,0.15557997009004534,0.039605509448494045,0.05709945686997877,2766
MPC,126,-14.740867187278523,2.316925375156055e-47,-14.698185206177461,4.155860732591884e-47,0.10655249148265405,0.15485168247860562,0.034584020137854596,0.06467722176345107,2703
MRK,21,-7.482843327583466,9.560480560180352e-14,-7.216823986443784,6.747477703682101e-13,0.06329009095824466,0.07390058049194198,0.040378453763591005,0.04788117786644867,2932
MRK,63,-13.386169785047024,1.082510128431633e-39,-12.90822061260101,4.207498008272239e-37,0.05634102725979897,0.07147094553332897,0.036712937316039286,0.05489195693651691,2890
MRK,126,-18.005224324653884,1.0606183898228539e-68,-16.648689974464546,1.9165595463607004e-59,0.04670962548106115,0.06144658650221861,0.02771326942075334,0.04373942875000304,2827
MS,21,-5.332720016607481,1.041105542887816e-07,-7.607852654276409,3.730927202896177e-14,0.08205945479681556,0.0968263110823803,0.03715390983069481,0.045205878511833504,2932
MS,63,-13.324617334969652,2.358032699473629e-39,-11.815011988064063,1.712659559001596e-31,0.07531041188552239,0.10393991201940474,0.03436914482121408,0.0697208689755869,2890
MS,126,-18.90702998548989,3.6000215287426573e-75,-18.458919772520957,6.33404945280775e-72,0.05839084753670879,0.09307032240898747,0.021887392901683806,0.05720564615759432,2827
NEE,21,-3.3346144187157827,0.0008648048936005254,-1.7265352093246151,0.08435654215701881,0.07690887821681582,0.08681408802066745,0.043288967306465705,0.04595783525103931,2932
NEE,63,-8.167949331732586,4.636043129865379e-16,-5.2686983932442635,1.4750000061454844e-07,0.0728766172098568,0.08782501684382586,0.0493729231688901,0.0621526995897743,2890
NEE,126,-15.01305928946349,4.4748748244063405e-49,-12.206191324705824,1.9706838505221277e-33,0.06396870098330615,0.08234294626068031,0.04220357297961843,0.06606410741006549,2827
NEM,21,-5.5071155483262775,3.9632705641452985e-08,-7.9500754929477075,2.635871090726503e-15,0.09069972281691403,0.10971587531120852,0.030178869171276414,0.038396824971826574,2932
NEM,63,-12.547903701439898,3.322584395076106e-35,-11.201426098917768,1.5404474541163455e-28,0.08453329198083911,0.11258474907160274,0.030979753784300464,0.056816561974613065,2890
NEM,126,-17.735915134646696,8.115316008789397e-67,-18.755736753882665,4.5578521386328676e-74,0.07028992018317397,0.10818879012689966,0.023008495546993676,0.05297221900321467,2827
NFLX,21,-6.224287199335837,5.527844617560433e-10,-4.492647501243515,7.306474118009457e-06,0.091512510440479,0.1006716455262782,0.03431025850573419,0.03849688330812594,2932
NFLX,63,-13.65782286875387,3.357320691336093e-41,-12.580206781654242,2.2558033610029938e-35,0.08587451764758885,0.10396011837566131,0.032041300106959304,0.04738710064734872,2890
NFLX,126,-18.202275298161904,4.296114347040807e-70,-16.296417278069708,3.892854261904178e-57,0.08414441443801701,0.10619543792913222,0.0314442726125162,0.04988942443670435,2827
NKE,21,-3.625541803043758,0.0002932645968797927,-0.06164485356277758,0.9508498599136905,0.08127521339485613,0.09393998494000226,0.044137529302677225,0.04426093710090024,2932
NKE,63,-10.55208398496174,1.4410714424582847e-25,-9.719713507359222,5.376839801339598e-22,0.06998585735721247,0.093269017062589,0.03818796319166704,0.061338817287732175,2890
NKE,126,-17.754133163782026,6.061555595173293e-67,-18.832813933833535,1.253031873322035e-74,0.05990050681242847,0.08420972641858032,0.03026187587089985,0.05654421886618722,2827
NOC,21,-5.9918008288393425,2.328381099827071e-09,-8.5262979084304,2.383207498823277e-17,0.061253111678010196,0.07098307250239659,0.034940981405090867,0.04624971080080578,2932
NOC,63,-12.003164048013137,1.9935714678946398e-32,-11.951989657097362,3.5890513609468054e-32,0.05662261584244335,0.07084526361642186,0.03240537604250265,0.04578201264473346,2890
NOC,126,-19.069651350720733,2.310506147950929e-76,-21.355506434434865,6.24599930497038e-94,0.04891975433079373,0.06502904444421122,0.026694615958260344,0.04469638743424986,2827
NVDA,21,-4.544435428622472,5.731105315617955e-06,-0.02299604135256869,0.9816549960161534,0.10016122533792894,0.11011846964162073,0.03986830940988352,0.03990432252525004,2932
NVDA,63,-16.259875662790282,5.955416225368418e-57,-15.308762239284315,6.319893547087843e-51,0.08724700569808157,0.1163141261596037,0.028598997326274335,0.05109766287149151,2890
NVDA,126,-24.18318858554264,1.3616846043735604e-117,-21.184874203469747,1.4364462273111414e-92,0.06795993838328057,0.09728964100453377,0.017924445894417742,0.03581310762448971,2827
ORCL,21,-6.788047383552265,1.3702560169400959e-11,-12.174407241949488,2.672283364886543e-33,0.06727368570681398,0.08464940352875798,0.038766119351537606,0.056806488783403365,2932
ORCL,63,-10.058869589045091,2.0299610095493468e-23,-8.962341146616508,5.574707865301225e-19,0.062225042969888344,0.07735835983665931,0.03757737191093022,0.052830280581549406,2890
ORCL,126,-11.872472507982119,9.239572094217079e-32,-12.295120209738602,6.956442255587539e-34,0.05242575174083654,0.06490448305613472,0.025944514531610074,0.04034432091016812,2827
