ticker,horizon,n,median_delta,p95_delta,seam_median_delta,off_seam_median_delta,seam_ratio,p_mw
MMM,63,2952,0.0010436659293507483,0.009638446098845432,0.0009956041981537614,0.001078489270673208,0.9231470587855654,0.7128814389809662
MMM,126,2952,0.0007205256917684477,0.007221647068892157,0.000768818579142197,0.0006968856172094029,1.1032206149135941,0.22930271129564084
MO,21,2952,0.002657345176498946,0.01634166909636256,0.002753680493378999,0.002606817754170543,1.0563379388426737,0.48981273205242565
MO,63,2952,0.0011041792455906557,0.010340401554830627,0.0011237724441267027,0.0010843714201642651,1.0363353581897878,0.17007282936986695
MO,126,2952,0.0008914759012520063,0.010899707664462304,0.0010096654849609948,0.0008366495637424504,1.2067961649852779,0.04744874995755085
MPC,21,2828,0.003995063869373705,0.023357615378993935,0.003859536865184615,0.004085794116897967,0.9446234329875799,0.443985906751802
MPC,63,2828,0.0019100715162488624,0.01484069115846623,0.0019004279069623209,0.0019125513869384658,0.993661095822606,0.38342450001282624
MPC,126,2828,0.001113974990694655,0.014114401111868102,0.0011769571687622604,0.0010813833112508636,1.0883811101179692,0.22929110649457562
MRK,21,2952,0.002724652641222139,0.016744847950007274,0.0027740140220269965,0.002720354693388105,1.0197251221575303,0.5879177531867118
MRK,63,2952,0.0010502382405378624,0.007325343513497031,0.0010686012353306462,0.001048841162440986,1.0188399097949896,0.27274806533851437
MRK,126,2952,0.000734565682677546,0.008853793203072646,0.0007348803976779117,0.000734565682677546,1.0004284368406902,0.7249916332853946
MS,21,2952,0.003243248202891791,0.01978040183016181,0.0034652092667485923,0.0031234977024080512,1.1094002931640063,0.009526087034300853
MS,63,2952,0.0017447893166491063,0.013723959876847101,0.0018490028095141942,0.0017123842143905166,1.0797826760931126,0.16863884447433342
MS,126,2952,0.0010364633733375844,0.00904777658306067,0.0010880425948259498,0.0010216801864200986,1.0649541894693884,0.0669312150132867
NEE,21,2952,0.002529789606240687,0.01554139790427699,0.0024897137444220563,0.0025644405141140025,0.9708604004340635,0.2857096923975706
NEE,63,2952,0.0014109922130764035,0.009640734874721479,0.001349814036148797,0.0014435160312996492,0.935087665727904,0.8734350953500583
NEE,126,2952,0.0012563899135800555,0.01145244680861339,0.0012656907549242064,0.0012518053694790948,1.0110922878137913,0.41964906516843226
NEM,21,2952,0.0039266139770510605,0.023596797561867798,0.0038893890730883063,0.003934647411769382,0.9884974855572324,0.5525367726960505
NEM,63,2952,0.0024765395910754384,0.017096020830770036,0.0026902395226361397,0.0024006462137260154,1.1206313980187235,0.02517216742508103
NEM,126,2952,0.0014769467041079731,0.013743225082332526,0.0016389651045229658,0.0014296955969999442,1.1463734713614215,0.09467180419410315
NFLX,21,2952,0.004383033657782115,0.03440174799913784,0.0047384662570799235,0.004277660352543816,1.1077238178253395,0.12538917469219651
NFLX,63,2952,0.002265544911811801,0.01913161128346183,0.002424680584208222,0.0022152261364142,1.0945521743134843,0.1246557539360732
NFLX,126,2952,0.0017806391974659885,0.016006143537714852,0.001678952433671388,0.0018323059268044728,0.9163057375464958,0.7054729378354514
NKE,21,2952,0.0020612236350988355,0.015055642261215632,0.002097949725165499,0.002042142967178709,1.0273275470345198,0.1274667945635941
NKE,63,2952,0.0010271852726086023,0.010092460571129223,0.0010833547041544517,0.0010014452249283573,1.0817912724402416,0.16064459540385223
NKE,126,2952,0.0007607916241507973,0.008993734977825399,0.0007434470799832504,0.0007689200562193549,0.9668717495010462,0.41114565010514714
NOC,21,2952,0.0033325348378448055,0.020949987393735787,0.002981422597216704,0.003500810143636443,0.8516378994833954,0.9828944532224888
NOC,63,2952,0.0011690048297861994,0.009585139383287982,0.0011813895315474499,0.0011681142240898001,1.011364734016482,0.7360898905144573
NOC,126,2952,0.0006352237962747587,0.007045120073626978,0.0006862381307885523,0.0006194281833745846,1.1078574549998574,0.06598423594881767
NVDA,21,2952,0.004118259029469301,0.028457857500220913,0.0045007043856256645,0.004010491488366297,1.1222326237772566,0.06739136572602455
NVDA,63,2952,0.0018969054674703723,0.017505362215129723,0.002065647805201909,0.0018564936083805827,1.1126608763300678,0.13382202475353788
NVDA,126,2952,0.0011807991160839026,0.01325344096802071,0.0012165516053934955,0.0011650239743009883,1.044228816083741,0.06780031700166902
ORCL,21,2952,0.0026343479724898478,0.01980723647620966,0.002817816165999923,0.0025814376601609457,1.0915685509229922,0.01360765422996361
ORCL,63,2952,0.0011383406660783468,0.008920944986772027,0.0011805465081986544,0.0011171314935818355,1.0567659357749306,0.1587144792776936
ORCL,126,2952,0.0007285233591252105,0.008039167690939134,0.0007309116016969985,0.0007267982577260496,1.005659540219343,0.3166300268741733
PEP,21,2952,0.0019214366999910498,0.011349142429824068,0.002074261690235099,0.0018633111776048539,1.1132127124903561,0.0048571534576253165
PEP,63,2952,0.0009363043338500021,0.008778482446481821,0.0009802327224246593,0.000919675105756107,1.0658467498897506,0.20530651296078728
PEP,126,2952,0.0006737583648548998,0.008368711366131236,0.0007159829775804649,0.0006517912457416064,1.0984851089336454,0.30376245309352057
PFE,21,2952,0.003425371219192938,0.01983639885159374,0.0034912035268463426,0.003412549385981206,1.0230484989281763,0.2625586686016382
