ticker,sector,horizon,alpha,beta,r2,rmse,mae,qlike,hit_rate,n_obs,flag
SO,Utilities,21,0.01543,0.969,0.3337,0.062037,0.028103,0.001717,0.4849,2676,
SO,Utilities,63,0.00531,1.0573,0.278,0.058506,0.027121,0.001565,0.4871,2676,
SO,Utilities,126,-0.00891,1.1463,0.3665,0.049797,0.024886,0.001168,0.4942,2676,
SPG,REIT,21,0.03761,0.8857,0.4919,0.116757,0.044009,0.005384,0.4807,2676,
SPG,REIT,63,0.04677,0.8681,0.3868,0.122555,0.04347,0.006084,0.4957,2676,
SPG,REIT,126,0.03384,0.9484,0.3869,0.116986,0.045954,0.005943,0.4964,2676,
T,Comm,21,0.00536,1.0294,0.2003,0.087114,0.037878,0.003214,0.4912,2676,
T,Comm,63,-0.00962,1.1491,0.3121,0.071252,0.034473,0.002352,0.5073,2676,
T,Comm,126,-0.03727,1.3167,0.5347,0.05453,0.029779,0.00142,0.5136,2676,
TGT,Consumer Disc,21,0.01726,0.9632,0.3963,0.059114,0.035628,0.001634,0.4879,2676,
TGT,Consumer Disc,63,0.00929,1.0306,0.4265,0.049572,0.03243,0.001175,0.4834,2676,
TGT,Consumer Disc,126,0.01474,0.9989,0.5019,0.040138,0.029444,0.000787,0.5073,2676,
TMO,Health Care,21,0.01883,0.9591,0.3519,0.055491,0.033325,0.00144,0.4778,2676,
TMO,Health Care,63,-0.00309,1.0901,0.3522,0.047604,0.030062,0.001079,0.4901,2676,
TMO,Health Care,126,-0.03145,1.2383,0.552,0.035926,0.022585,0.000625,0.4979,2676,
TSLA,Consumer Disc,21,0.03989,0.9131,0.3445,0.131401,0.084114,0.007841,0.4658,2676,
TSLA,Consumer Disc,63,0.04489,0.9286,0.3215,0.115564,0.077662,0.006247,0.4628,2676,
TSLA,Consumer Disc,126,-0.07992,1.2588,0.4742,0.093708,0.065434,0.004155,0.4774,2676,
TXN,Tech,21,-0.00134,1.0509,0.3502,0.057645,0.03267,0.001527,0.4968,2676,
TXN,Tech,63,0.00949,1.0225,0.2532,0.053693,0.032186,0.001357,0.4864,2676,
TXN,Tech,126,-0.01534,1.1448,0.4064,0.041758,0.026271,0.000841,0.4957,2676,
UNH,Health Care,21,0.04147,0.8177,0.2476,0.075243,0.038571,0.002587,0.4908,2676,
UNH,Health Care,63,-0.00458,1.0813,0.2186,0.066909,0.034164,0.002064,0.4998,2676,
UNH,Health Care,126,-0.07434,1.433,0.4991,0.050095,0.029596,0.001201,0.5077,2676,
UPS,Industrials,21,0.02192,0.919,0.4523,0.055246,0.030457,0.001426,0.4654,2676,
UPS,Industrials,63,-0.01073,1.1555,0.5306,0.048315,0.026227,0.001099,0.474,2676,
UPS,Industrials,126,0.00311,1.0634,0.6107,0.04016,0.023041,0.000776,0.5058,2676,
USB,Financials,21,0.01902,0.9698,0.4629,0.074802,0.035682,0.002463,0.5021,2676,
USB,Financials,63,0.01028,1.0567,0.4408,0.0715,0.033418,0.002304,0.4916,2676,
USB,Financials,126,-0.00114,1.1183,0.5386,0.061162,0.030763,0.00174,0.4927,2676,
VZ,Comm,21,0.00725,1.0076,0.1444,0.075265,0.034798,0.002517,0.4964,2676,
VZ,Comm,63,-0.05283,1.4066,0.2673,0.05976,0.0325,0.001681,0.5009,2676,
VZ,Comm,126,-0.04399,1.3089,0.4384,0.043791,0.029304,0.000931,0.5249,2676,
WFC,Financials,21,0.02108,0.9564,0.4605,0.074079,0.037805,0.002421,0.4979,2676,
WFC,Financials,63,-0.01249,1.1646,0.5011,0.067245,0.035003,0.002063,0.4946,2676,
WFC,Financials,126,-0.01456,1.1654,0.5975,0.056303,0.028481,0.001476,0.486,2676,
WMT,Staples,21,0.01257,0.9629,0.2823,0.054126,0.028749,0.001354,0.52,2676,
